Book_Title,Author,Average Rating,Total Rating,Total Score,People Voted
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.33,7880899,"90,760",919
The Help,Kathryn Stockett,4.47,2582191,"80,487",814
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.33,619912,"77,596",780
"Divergent (Divergent, #1)",Veronica Roth,4.15,3674574,"65,255",664
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.31,3192261,"47,561",492
Water for Elephants,Sara Gruen,4.1,1549855,"47,096",482
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,2339686,"46,109",471
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.07,2910352,"44,046",459
Bossypants,Tina Fey,3.96,961977,"41,707",423
"Forever (The Wolves of Mercy Falls, #3)",Maggie Stiefvater,3.89,120421,"39,916",403
The Book Thief,Markus Zusak,4.39,2340618,"36,380",379
To Kill a Mockingbird,Harper Lee,4.27,5640504,"35,094",364
"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,4.12,252753,"33,084",335
"Delirium (Delirium, #1)",Lauren Oliver,3.96,455427,"31,044",319
"Bloodlines (Bloodlines, #1)",Richelle Mead,4.2,181571,"29,881",305
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.32,791449,"29,301",306
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.09,570740,"27,991",291
"A Discovery of Witches (All Souls, #1)",Deborah Harkness,4.02,457866,"27,581",282
The Kite Runner,Khaled Hosseini,4.33,2930618,"26,403",276
"Matched (Matched, #1)",Ally Condie,3.63,745601,"25,136",265
The Time Traveler's Wife,Audrey Niffenegger,3.99,1729879,"25,106",265
Room,Emma Donoghue,4.07,780049,"24,636",255
The Lord of the Rings,J.R.R. Tolkien,4.52,640831,"23,935",249
"Crossed (Matched, #2)",Ally Condie,3.52,236967,"22,218",231
"Passion (Fallen, #3)",Lauren Kate,3.86,163315,"20,694",212
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.92,1188930,"19,807",208
"Across the Universe (Across the Universe, #1)",Beth Revis,3.77,116990,"18,989",200
"The Host (The Host, #1)",Stephenie Meyer,3.85,974294,"18,243",195
"Dead Reckoning (Sookie Stackhouse, #11)",Charlaine Harris,3.8,123790,"18,112",185
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.43,525250,"17,638",186
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.1,689966,"17,148",178
The Paris Wife,Paula McLain,3.82,289177,"17,080",177
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,3.87,191408,"17,030",174
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.16,3014444,"16,782",180
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.76,468818,"16,441",176
The Fault in Our Stars,John Green,4.15,4715976,"16,351",172
The Peach Keeper,Sarah Addison Allen,3.85,60567,"16,273",168
"The Power of Six (Lorien Legacies, #2)",Pittacus Lore,4.15,132904,"16,269",169
One Day,David Nicholls,3.81,313831,"14,610",152
